id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,points,area,material,function,thickness
10264b00-0db3-43a6-8a20-3768430fc7a5-0015622c,Roof - Planting Bed,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.4318,1.682355141,15.5956,-2.046451035,18.5928,20.47585648,2.483812531,18.6944,"[[16.98549867,-0.606425],[20.14555581,-2.046451035],[20.47585648,-1.321624545],[19.97486119,2.483812531],[15.5956,2.483812531],[15.5956,1.012825],[15.719425,1.012825],[15.719425,-0.606425]]",16.55861359,Planting Bed,floor,0.1016
ebcc0c44-2887-4da8-a07d-b59d337c134c-00156474,Roof - Turf,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.0508,3.33435703,-25.4889,4.0386,18.2118,-19.9644,12.506325,18.3134,"[[-25.4889,4.0386],[-23.64105,5.769332327],[-23.00752947,6.3627],[-22.72665,6.62577719],[-22.72665,10.1703735],[-25.4889,12.506325],[-25.4889,11.9126],[-25.4889,11.2776]]",46.78846068,Grass - Turf,floor,0
ebcc0c44-2887-4da8-a07d-b59d337c134c-001564cf,Roof - Sculpture Bed,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.0508,0.09576190525,-26.1239,11.9126,18.1864,-19.3294,12.506325,18.3134,"[[-25.4889,12.506325],[-26.1239,12.506325],[-26.1239,11.9126],[-25.4889,11.9126]]",0.75403075,Sculpture Bed,floor,0.127
ebcc0c44-2887-4da8-a07d-b59d337c134c-001565a5,Roof - Sculpture Bed,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.0762,0.2204784609,-25.4889,4.5339,18.2626,-19.9644,11.9126,18.3388,"[[-20.5994,11.9126],[-20.5994,11.2776],[-19.9644,11.2776],[-19.9644,11.9126]]",4.15095944,Sculpture Bed,floor,0.127
52f41f8d-ae82-4b9b-9b8c-a9d833dac2d4-00156713,Roof - Planting Bed,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.4318,0.9416027458,-27.9654,5.7658,18.5928,-25.7048,10.575925,18.6944,"[[-27.435175,7.546975],[-27.9654,7.546975],[-27.9654,5.7658],[-25.7048,5.7658],[-25.7048,10.575925],[-27.435175,10.575925]]",9.267743561,Planting Bed,floor,0.1016
52f41f8d-ae82-4b9b-9b8c-a9d833dac2d4-001567f4,Roof - Decking,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,0.4289744162,-30.229175,10.588625,18.2118,-25.6921,12.506325,18.2626,"[[-26.1239,11.9126],[-26.1239,12.506325],[-30.229175,12.506325],[-30.229175,10.588625],[-25.6921,10.588625],[-25.6921,11.9126]]",8.444378272,Exterior Decking,floor,0.0508
52f41f8d-ae82-4b9b-9b8c-a9d833dac2d4-00156837,Roof - Decking,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,0.3325222059,-19.7612,11.026775,18.2118,-15.1638,12.506325,18.2626,"[[-15.1638,11.026775],[-15.1638,12.506325],[-19.3294,12.506325],[-19.3294,11.9126],[-19.7612,11.9126],[-19.7612,11.026775]]",6.545712715,Exterior Decking,floor,0.0508
7db5496c-7eea-41c9-9e5d-ed83f585908c-001568e0,Roof - Decking,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,5.132223112,-33.01312727,-1.382283878,18.2118,-8.058192764,5.565775,18.2626,"[[-8.058192764,0.6092606924],[-10.22475829,2.532760468],[-11.376025,3.711638293],[-11.376025,4.016375],[-13.8176,4.016375],[-13.8176,4.371975],[-19.7612,4.371975],[-19.7612,3.8354],[-25.6921,3.8354],[-25.6921,4.371975],[-29.1973,4.371975],[-29.1973,5.565775],[-30.229175,5.565775],[-30.229175,5.039160439],[-30.59225779,4.96952671],[-32.14530172,2.656874088],[-33.01312727,0.7524791361],[-28.32850844,-1.382283878],[-27.19098405,1.113950188],[-21.73625035,-1.371751245],[-20.59872597,1.124482822],[-15.14399227,-1.361218612],[-14.00646788,1.135015455],[-8.55173418,-1.350685978],[-8.058192764,-0.2676367589]]",101.0293941,Exterior Decking,floor,0.0508
5e83bb24-546c-424b-9452-26252fc4ebf6-00156ba3,Roof - Decking,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,2.135009117,-1.397,3.7211,18.2118,5.9182,12.506325,18.2626,"[[3.235325,8.5217],[3.235325,3.7211],[5.9182,3.7211],[5.9182,12.506325],[-1.397,12.506325],[-1.397,8.658225],[-1.397,8.5217],[0.9398,8.5217]]",42.02773853,Exterior Decking,floor,0.0508
5e83bb24-546c-424b-9452-26252fc4ebf6-00156d95,Roof - Decking,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,0.9542678979,-10.7696,10.258425,18.2118,-1.905,12.506325,18.2626,"[[-10.7696,10.258425],[-6.4262,10.258425],[-6.4262,12.506325],[-10.7696,12.506325]]",18.78480114,Exterior Decking,floor,0.0508
5e83bb24-546c-424b-9452-26252fc4ebf6-00156de4,Roof - Planting Bed,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.4318,1.740312342,-11.9888,3.7338,18.5928,3.222625,12.493625,18.6944,"[[-11.9888,5.248275],[-10.7823,5.248275],[-10.7823,12.493625],[-11.864975,12.493625],[-11.864975,5.565775],[-11.9888,5.565775]]",17.12905848,Planting Bed,floor,0.1016
212cf471-6a82-43d5-b289-240f1f14e01f-0015701f,Roof - Planting Bed,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.4318,1.722988856,0.98425,-1.238020013,18.5928,12.4079,2.4892,18.6944,"[[12.4079,1.012825],[12.4079,2.4892],[7.168017373,2.4892],[9.53064416,-0.3519349585],[11.47510858,-1.238020013],[11.76292403,-0.606425],[12.284075,-0.606425],[12.284075,1.012825]]",16.95851109,Planting Bed,floor,0.1016
212cf471-6a82-43d5-b289-240f1f14e01f-00157162,Roof - Sculpture Bed,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.0762,1.300281266,3.338730581,-0.3618888373,18.2118,9.521860674,2.501899803,18.3388,"[[9.521860674,-0.3618888373],[7.135011376,2.501899803],[3.340099047,2.501899803],[3.921421316,0.7944447503],[6.332067271,-0.3040774573],[6.858743228,0.85168367]]",10.2382972,Sculpture Bed,floor,0.127
0c477b50-82a2-4f65-89e9-7c35c9f0b267-001571fe,Roof - Turf,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0.3556,2.960154326,-14.792325,-8.384534025,14.1224,-7.313241884,-2.192327586,14.4272,"[[-11.83018561,-6.520936513],[-12.03419239,-6.285799594],[-12.19780185,-6.006991535],[-12.27340146,-5.816360324],[-12.34045018,-5.535733032],[-12.81323497,-5.697799983],[-12.59671096,-5.911468303],[-12.43954123,-6.102859374],[-12.22907776,-6.433884011],[-12.09793951,-6.717731895]]",19.2820218,Grass - Turf,floor,0
