id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,host_id,location_param,material,width,height,operation
c40d2a77-58c6-4479-8315-653c702baee6-000fff84,Door-Curtain-Wall-Single-Storefront,S22A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cf6,,,1.8034,0.05187734786,-14.49705,13.15085,0,-13.58265,14.1097,2.4384,c40d2a77-58c6-4479-8315-653c702baee6-000fff83,,Glass,0.9144,2.4384,
049439b4-5467-47c4-a72e-459e7fd736c2-00101ad4,"34"" x 84"" (90 MIN)",502C,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0.3048,0.099022995,-10.36048651,-2.274869409,14.1732,-8.874690365,-0.5716639927,16.4084,049439b4-5467-47c4-a72e-459e7fd736c2-0010182b,0.2739317654,Glass,0,0,
049439b4-5467-47c4-a72e-459e7fd736c2-00101b16,"34"" x 84"" (90 MIN)",502B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0.3048,0.099022995,4.590606769,-1.203099597,14.1732,6.07640291,0.5001058189,16.4084,049439b4-5467-47c4-a72e-459e7fd736c2-00101ada,0.3408995375,Glass,0,0,
049439b4-5467-47c4-a72e-459e7fd736c2-00101c36,"34"" x 84"" (90 MIN)",507A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0.3048,0.099022995,18.3430938,-2.987457422,14.1732,19.82888994,-1.284252005,16.4084,049439b4-5467-47c4-a72e-459e7fd736c2-00101bdf,0.3453027139,Glass,0,0,
f1e85522-067c-41f7-b53b-54506a9ec72d-00126779,"36"" x 84"" (60 MIN)",204A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,0,0.1225603879,-5.940425,2.6543,2.4638,-4.924425,3.736975,4.6482,45ed4799-d124-4abc-8e2b-9d29089bad28-000b6bdf,0.6277945619,Aluminum,0,0,
ca6ba87f-a3eb-408d-9990-f6081814b705-00127c92,"36"" x 84""",406,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.1172729993,-3.387725,3.736975,13.8684,-2.371725,4.7879,16.0528,ca6ba87f-a3eb-408d-9990-f6081814b705-00127c71,0.762780434,Aluminum,0,0,
cfa49403-f47c-4264-9960-aa8f04ed02f1-001309e8,"36"" x 84""",101C,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0,0.1172729993,-18.583275,7.413625,-1.8034,-17.53235,8.429625,0.381,cfa49403-f47c-4264-9960-aa8f04ed02f1-00130891,0.6463815789,Aluminum,0,0,
cfa49403-f47c-4264-9960-aa8f04ed02f1-00130a2d,"36"" x 84""",101B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0,0.1172729993,-18.583275,8.71855,-1.8034,-17.53235,9.73455,0.381,cfa49403-f47c-4264-9960-aa8f04ed02f1-00130891,0.3759868421,Aluminum,0,0,
cfa49403-f47c-4264-9960-aa8f04ed02f1-00131362,"26"" x 84""",101A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0,0.09170405853,-17.4879,9.451975,-1.8034,-16.7259,10.2489,0.381,cfa49403-f47c-4264-9960-aa8f04ed02f1-001312f4,0.4876160991,Aluminum,0,0,
1c108535-bbed-422b-bc93-8d7055e839ed-00133144,"36"" x 84"" (90 MIN)",S11B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0.0762,0.104317745,-29.695775,4.651375,-1.7272,-28.679775,5.838825,0.4572,1c108535-bbed-422b-bc93-8d7055e839ed-00133122,0.4524838013,Glass,0,0,
8c89656c-31b8-4220-bf37-dc8bf480b6a0-0013b042,"32"" x 84""",506OPN,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0,6.365875,6.66115,13.8684,7.178675,6.784975,16.002,c2074c86-4f71-4891-b420-05ffb69fa016-000c0358,0.510882016,,0,0,
8c89656c-31b8-4220-bf37-dc8bf480b6a0-0013b0b0,"32"" x 84""",205OPN,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,0,0,6.365875,6.66115,2.4638,7.178675,6.784975,4.5974,c2074c86-4f71-4891-b420-05ffb69fa016-000c009a,0.510882016,,0,0,
8c89656c-31b8-4220-bf37-dc8bf480b6a0-0013b0b2,"32"" x 84""",307OPN,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0,6.365875,6.66115,5.7404,7.178675,6.784975,7.874,c2074c86-4f71-4891-b420-05ffb69fa016-000c02f6,0.510882016,,0,0,
8c89656c-31b8-4220-bf37-dc8bf480b6a0-0013b0b4,"32"" x 84""",408OPN,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0,6.365875,6.66115,9.8044,7.178675,6.784975,11.938,c2074c86-4f71-4891-b420-05ffb69fa016-000c0327,0.510882016,,0,0,
