id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,top_level_id,top_offset,height,material,thickness
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f4282,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.00794772604,-12.0015,5.235575,18.2372,-10.7696,5.248275,18.7452,-10.77595,5.241925,-11.99515,5.241925,1.2192,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f4286,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.04682603538,-10.7823,5.241925,18.2372,-10.7696,12.506325,18.7452,-10.77595,12.499975,-10.77595,5.241925,7.25805,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f428a,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.00698498603,-11.864975,12.493625,18.2372,-10.77595,12.506325,18.7452,-11.864975,12.499975,-10.77595,12.499975,1.089025,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f428e,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.002048383,-12.0015,5.241925,18.2372,-11.9888,5.565775,18.7452,-11.99515,5.241925,-11.99515,5.565775,0.32385,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f42bf,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.01450255164,-6.4262,10.258425,18.2372,-6.4135,12.506325,18.7452,-6.41985,10.264775,-6.41985,12.499975,2.2352,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f42c3,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.00319547748,-6.41985,10.258425,18.2372,-5.9182,10.271125,18.7452,-5.92455,10.264775,-6.41985,10.264775,0.4953,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f42c7,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.01442061632,-5.9309,10.264775,18.2372,-5.9182,12.506325,18.7452,-5.92455,12.499975,-5.92455,10.264775,2.2352,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f42cb,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.00311354216,-6.41985,12.493625,18.2372,-5.92455,12.506325,18.7452,-6.41985,12.499975,-5.92455,12.499975,0.4953,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f42cf,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.0032774128,-1.905,12.493625,18.2372,-1.397,12.506325,18.7452,-1.89865,12.499975,-1.40335,12.499975,0.4953,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f42d3,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.02474446664,-1.905,8.658225,18.2372,-1.8923,12.499975,18.7452,-1.89865,8.658225,-1.89865,12.499975,3.84175,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f42d7,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.02474446664,-1.4097,8.658225,18.2372,-1.397,12.499975,18.7452,-1.40335,12.499975,-1.40335,8.658225,3.84175,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f4375,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.05102192335,18.78047811,3.715712531,18.2372,19.82548806,11.65335117,18.7452,18.78682811,11.55646889,19.81824728,3.722062531,7.902009141,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f4379,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.006653950371,18.78047811,3.715712531,18.2372,19.81824728,3.728412531,18.7452,19.81824728,3.722062531,18.78682811,3.722062531,1.031419164,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f437d,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.0505034884,18.78047811,3.722062531,18.2372,18.79317811,11.65335117,18.7452,18.78682811,3.722062531,18.78682811,11.55646889,7.834406358,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f4381,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.01395404219,9.50987235,-1.254842968,18.2372,11.48666522,-0.3424693237,18.7452,11.47825375,-1.24643149,9.526252649,-0.3569120038,2.145123119,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f4385,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.0240135965,7.135011157,-0.3602437527,18.2372,9.531658382,2.5019,18.7452,,,,,,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f438a,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.03393284536,7.151529748,2.4892,18.2372,12.4206,2.5019,18.7452,7.151529748,2.49555,12.41425,2.49555,5.262720252,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f438e,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.00952498095,12.4079,1.012825,18.2372,12.4206,2.49555,18.7452,12.41425,2.49555,12.41425,1.012825,1.482725,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f4393,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.004496609027,11.47247543,-1.249064649,18.2372,11.77688051,-0.606425,18.7452,11.7670086,-0.612775,11.47825375,-1.24643149,0.6963475533,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f4397,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.003290884765,11.7670086,-0.619125,18.2372,12.284075,-0.606425,18.7452,12.284075,-0.612775,11.7670086,-0.612775,0.5170663985,,0.381,0.508,Steel Rusted,0.0127
c4bf4362-c7d4-4b0f-ac23-daf353f5b0ff-001f43b9,"Planter Wall - Steel Plate 1/2""",,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,,0.005180388108,0.97155,1.698938237,18.2372,0.98425,2.5019,18.7452,0.9779,1.698938237,0.9779,2.49555,0.7966117627,,0.381,0.508,Steel Rusted,0.0127
