id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,top_level_id,top_offset,height,material,shape,size_x,size_y
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f20e,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.459848669,0.7874,12.3317,13.8684,1.397,12.9413,17.78,1.0922,12.6365,0,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,,Gypsum Wall Board,,,
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f225,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.9009280046,6.985,12.3317,13.8684,7.5946,12.9413,17.78,7.2898,12.6365,0,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,,Gypsum Wall Board,,,
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f242,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.459848669,12.2682,12.3317,13.8684,12.8778,12.9413,17.78,12.573,12.6365,0,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,,Gypsum Wall Board,,,
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f416,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,1.15111035,0.7874,0.4572,13.8684,1.397,1.0668,17.78,1.0922,0.762,0,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,,Gypsum Wall Board,,,
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f417,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,1.17798916,-6.477,0.4572,13.8684,-5.8674,1.0668,17.78,-6.1722,0.762,0,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,,Gypsum Wall Board,,,
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f418,"24""D x 22""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.5511015712,12.2682,5.5499,13.8684,12.827,6.1595,17.78,12.573,5.8547,0,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,,Gypsum Wall Board,,,
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f419,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.7419407097,-6.477,5.5499,13.8684,-5.8674,6.1595,17.78,-6.1722,5.8547,0,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,,Gypsum Wall Board,,,
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f830,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,1.134419086,6.985,0.4572,5.7404,7.5946,1.0668,9.652,7.2898,0.762,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,-0.1524,,Gypsum Wall Board,,,
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f831,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.8322252388,6.985,12.3317,5.7404,7.5946,12.9413,9.652,7.2898,12.6365,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,-0.1524,,Gypsum Wall Board,,,
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f832,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,1.510231818,6.985,-8.6995,5.7404,7.5946,-8.0899,9.8044,7.2898,-8.3947,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,0,,Gypsum Wall Board,,,
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f86b,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,1.364387461,6.985,-4.1783,5.7404,7.5946,-3.5687,9.652,7.2898,-3.8735,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,-0.1524,,Gypsum Wall Board,,,
977cda70-d43d-40cf-ac04-b57c93c568d6-0014f8cb,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0,1.514384531,-27.9781,5.565775,-1.8034,-27.3685,6.175375,5.588,-27.6733,5.8547,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,,Gypsum Wall Board,,,
58916ebe-3249-42d7-b906-951988187a64-0015015a,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.459848669,-6.477,12.3317,5.7404,-5.8674,12.9413,9.652,-6.1722,12.6365,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,-0.1524,,Gypsum Wall Board,,,
58916ebe-3249-42d7-b906-951988187a64-00150183,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.4423151507,0.7874,12.3317,5.7404,1.397,12.9413,9.652,1.0922,12.6365,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,-0.1524,,Gypsum Wall Board,,,
58916ebe-3249-42d7-b906-951988187a64-001501b0,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.719282009,-6.477,5.5499,5.7404,-5.8674,6.1595,9.652,-6.1722,5.8547,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,-0.1524,,Gypsum Wall Board,,,
58916ebe-3249-42d7-b906-951988187a64-00150220,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,0,0.5683494681,-6.477,5.5499,2.4638,-5.8674,6.1595,5.588,-6.1722,5.8547,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,,Gypsum Wall Board,,,
58916ebe-3249-42d7-b906-951988187a64-0015027a,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,0,0.3851979111,-6.477,12.3317,2.4638,-5.8674,12.9413,5.7404,-6.1722,12.6365,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,0,,Gypsum Wall Board,,,
