id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-1352,Copper,,lv-6,,,,0.0003817736767,-17.1592875,5.557029778,-2.4780875,-17.1307125,6.152370222,-2.4495125,-17.145,5.557029778,-17.145,6.152370222,0.5953404446,-2.4638,-2.4638,,,,plumbing,,
pi-1353,Copper,,lv-6,,,,0.0002884921823,-17.1592875,6.15686035,-2.467858204,-17.1307125,6.495176759,-2.129541796,-17.145,6.166963138,-17.145,6.485073971,0.4498766535,-2.457755416,-2.139644584,,,,plumbing,,
pi-1354,Copper,,lv-6,,,,0.002855249691,-17.1592875,6.499666887,-2.1478875,-17.1307125,10.9521625,-2.1193125,-17.145,10.9521625,-17.145,6.499666887,4.452495613,-2.1336,-2.1336,,,,plumbing,,
pi-1355,Copper,,lv-6,,,,0.0006736691722,8.516359666,-8.682284404,-3.940696732,8.570334666,-8.628309404,-3.64625914,8.543347166,-8.655296904,8.543347166,-8.655296904,0.2944375919,-3.64625914,-3.940696732,,,,plumbing,,
pi-1356,Copper,,lv-6,,,,0.0003967620695,8.516359666,-8.68022888,-4.123812188,8.570334666,-8.583210955,-3.942340233,8.543347166,-8.654160957,8.543347166,-8.609278878,0.1734110349,-3.949325112,-4.116827309,,,,plumbing,,
pi-1357,Copper,,lv-6,,,,0.0005649985199,8.325859666,-8.669584404,-2.8321,8.354434666,-8.641009404,-1.9510375,8.340147166,-8.655296904,8.340147166,-8.655296904,0.8810625,-2.8321,-1.9510375,,,,plumbing,,
pi-1358,Copper,,lv-6,,,,0.0003935925105,8.325859666,-8.634659404,-1.9446875,8.354434666,-8.020888591,-1.9161125,8.340147166,-8.634659404,8.340147166,-8.020888591,0.6137708137,-1.9304,-1.9304,,,,plumbing,,
pi-1359,Copper,,lv-6,,,,0.004286544637,1.635043069,-8.014538591,-1.9446875,8.319509666,-7.985963591,-1.9161125,8.319509666,-8.000251091,1.635043069,-8.000251091,6.684466598,-1.9304,-1.9304,,,,plumbing,,
pi-1360,Copper,,lv-6,,,,0.007671283434,1.600118069,-7.979613591,-1.9446875,1.628693069,3.9830375,-1.9161125,1.614405569,-7.979613591,1.614405569,3.9830375,11.96265109,-1.9304,-1.9304,,,,plumbing,,
pi-1361,Copper,,lv-6,,,,0.0005170992583,0.7874,3.9893875,-1.9446875,1.593768069,4.0179625,-1.9161125,1.593768069,4.003675,0.7874,4.003675,0.8063680686,-1.9304,-1.9304,,,,plumbing,,
