id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,system_type,equipment_type
eq-87,12 V,97,lv-8,,,0,1.608719887E-06,-18.06485469,-1.490208515,16.59663078,-18.03861586,-1.472817036,16.62219623,-18.05238357,-1.482935409,114.5503156,,
eq-88,12 V,98,lv-7,,,0,1.608719887E-06,-15.35219467,-2.715484344,16.65274335,-15.32595584,-2.698092865,16.6783088,-15.33972354,-2.708211238,114.5503156,,
eq-89,12 V,99,lv-7,,,0,1.608719887E-06,-16.23862023,-2.313893668,16.64061525,-16.2123814,-2.296502189,16.6661807,-16.2261491,-2.306620562,114.5503156,,
eq-90,12 V,100,lv-7,,,0,1.608719887E-06,-17.19267157,-1.875177977,16.66104192,-17.16643274,-1.857786498,16.68660737,-17.18020045,-1.867904871,114.5503156,,
eq-91,12 V,101,lv-7,,,0,1.608719887E-06,-18.96334817,-1.06920177,16.65632299,-18.93710935,-1.051810292,16.68188844,-18.95087705,-1.061928665,114.5503156,,
eq-92,12 V,102,lv-7,,,0,1.608719887E-06,-19.10669766,-1.380764136,14.71132447,-19.08045883,-1.363372657,14.73688992,-19.09422653,-1.37349103,114.5503156,,
eq-93,12 V,103,lv-8,,,0,1.608719887E-06,-17.31360234,-2.191247751,14.74550439,-17.28736352,-2.173856272,14.77106984,-17.30113122,-2.183974645,114.5503156,,
eq-94,12 V,104,lv-8,,,0,1.608719887E-06,-15.48987566,-3.020536411,14.75467323,-15.46363683,-3.003144932,14.78023868,-15.47740454,-3.013263305,114.5503156,,
eq-95,12 V,105,lv-8,,,0,1.608719887E-06,-15.6419127,-3.33006283,12.79975097,-15.61567388,-3.312671351,12.82531642,-15.62944158,-3.322789724,114.5503156,,
eq-96,12 V,106,lv-8,,,0,1.608719887E-06,-25.23493872,-2.723760572,8.942634055,-25.20516702,-2.707840651,8.972426944,-25.21940458,-2.714377978,153.1760784,,
eq-97,12 V,107,lv-7,,,0,1.608719887E-06,-16.54144453,-2.919054876,12.80540047,-16.51520571,-2.901663398,12.83096592,-16.52897341,-2.911781771,114.5503156,,
eq-98,12 V,108,lv-7,,,0,1.608719887E-06,-17.42828669,-2.522094744,12.7683958,-17.40204786,-2.504703265,12.79396124,-17.41581556,-2.514821638,114.5503156,,
eq-99,12 V,109,lv-7,,,0,1.608719887E-06,-19.22440107,-1.703064883,12.77122054,-19.19816224,-1.685673404,12.79678599,-19.21192994,-1.695791777,114.5503156,,
eq-100,12 V,110,lv-7,,,0,1.608719887E-06,-19.37581322,-2.005645488,10.85361315,-19.34957439,-1.988254009,10.8791786,-19.3633421,-1.998372382,114.5503156,,
eq-101,12 V,111,lv-8,,,0,1.608719887E-06,-17.55728013,-2.829182756,10.8802494,-17.5310413,-2.811791278,10.90581485,-17.544809,-2.82190965,114.5503156,,
eq-102,12 V,112,lv-8,,,0,1.608719887E-06,-15.77678293,-3.645976413,10.85223788,-15.7505441,-3.628584935,10.87780333,-15.7643118,-3.638703308,114.5503156,,
eq-103,12 V,113,lv-8,,,0,1.608719887E-06,-18.61366027,-2.734248363,8.885874049,-18.58742144,-2.716856884,8.911439499,-18.60118914,-2.726975257,114.5503156,,
