id,number,base_offset,start_z,end_z,shape,size_x,size_y,material
bm-373,,0,20.849,20.849,,0.076,0.089,Steel
bm-374,,0,20.849,21.092,,0.076,0.089,Steel
bm-375,,0,21.092,21.092,,0.076,0.089,Steel
bm-376,,0,20.89,20.89,,0.1,0.2,Steel
bm-377,,0,20.93,20.93,,0.1,0.2,Steel
bm-378,,0,20.971,20.971,,0.1,0.2,Steel
bm-379,,0,21.011,21.011,,0.1,0.2,Steel
bm-380,,0,21.052,21.052,,0.1,0.2,Steel
bm-381,,0,5.588,5.588,,0.076,0.089,Steel
bm-382,,0,5.588,5.588,,,0.406,Steel
bm-383,,0,5.588,5.588,,,0.406,Steel
bm-384,,0,5.588,5.588,,,0.406,Steel
bm-385,,0,5.588,5.588,,,0.406,Steel
bm-386,,0,5.588,5.588,,,0.406,Steel
bm-387,,0,5.588,5.588,,,0.406,Steel
bm-388,,0,5.588,5.588,,,0.406,Steel
bm-389,,0,17.78,17.78,,0.1,0.2,Steel
bm-390,,0,1.524,1.524,,0.191,0.46,Steel
bm-391,,0,2.311,2.311,,0.191,0.46,Steel
bm-392,,0,2.311,2.311,,0.191,0.46,Steel
bm-393,,0,2.311,2.311,,,0.406,Steel
bm-394,,0,2.311,2.311,,,0.406,Steel
bm-395,,0,2.311,2.311,,,0.406,Steel
bm-396,,0,2.311,2.311,,,0.406,Steel
bm-397,,0,2.311,2.311,,,0.406,Steel
bm-398,,0,2.311,2.311,,,0.406,Steel
bm-399,,0,2.311,2.311,,,0.406,Steel
bm-400,,0,2.311,2.311,,,0.406,Steel
bm-401,,0,2.311,2.311,,,0.406,Steel
bm-402,,0,2.311,2.311,,,0.406,Steel
bm-403,,0,2.311,2.311,,,0.406,Steel
bm-404,,0,2.311,2.311,,,0.406,Steel
bm-405,,0,2.311,2.311,,,0.406,Steel
bm-406,,0,2.311,2.311,,,0.406,Steel
bm-407,,0,2.311,2.311,,0.282,0.467,Steel
bm-408,,0,2.311,2.311,,0.191,0.46,Steel
bm-409,,0,2.311,2.311,,0.191,0.46,Steel
bm-410,,0,2.311,2.311,,0.191,0.46,Steel
bm-411,,0,2.311,2.311,,0.1,0.2,Steel
bm-412,,0,2.311,2.311,,,0.406,Steel
bm-413,,0,2.311,2.311,,,0.406,Steel
bm-414,,0,2.311,2.311,,,0.406,Steel
bm-415,,0,2.311,2.311,,,0.406,Steel
bm-416,,0,2.311,2.311,,,0.406,Steel
bm-417,,0,2.311,2.311,,,0.406,Steel
bm-418,,0,2.311,2.311,,,0.406,Steel
bm-419,,0,2.311,2.311,,,0.406,Steel
bm-420,,0,2.311,2.311,,,0.406,Steel
bm-421,,0,2.311,2.311,,,0.406,Steel
bm-422,,0,2.311,2.311,,,0.406,Steel
bm-423,,0,2.311,2.311,,,0.406,Steel
bm-424,,0,2.311,2.311,,,0.406,Steel
bm-425,,0,2.311,2.311,,,0.406,Steel
bm-426,,0,2.311,2.311,,,0.406,Steel
bm-427,,0,2.311,2.311,,,0.406,Steel
bm-428,,0,2.311,2.311,,,0.406,Steel
bm-429,,0,2.311,2.311,,,0.406,Steel
bm-430,,0,2.311,2.311,,,0.406,Steel
bm-431,,0,2.311,2.311,,,0.406,Steel
bm-432,,0,2.311,2.311,,,0.406,Steel
bm-433,,0,2.311,2.311,,,0.406,Steel
bm-434,,0,2.311,2.311,,,0.406,Steel
bm-435,,0,2.311,2.311,,,0.406,Steel
bm-436,,0,2.311,2.311,,,0.406,Steel
bm-437,,0,2.311,2.311,,,0.406,Steel
bm-438,,0,2.311,2.311,,,0.406,Steel
bm-439,,0,2.311,2.311,,,0.406,Steel
bm-440,,0,2.311,2.311,,,0.406,Steel
bm-441,,0,2.311,2.311,,,0.406,Steel
bm-442,,0,2.311,2.311,,,0.406,Steel
bm-443,,0,2.311,2.311,,,0.406,Steel
bm-444,,0,13.716,13.716,,0.191,0.46,Steel
bm-445,,0,13.716,13.716,,0.191,0.46,Steel
bm-446,,0,13.716,13.716,,0.191,0.46,Steel
bm-447,,0,13.716,13.716,,0.191,0.46,Steel
bm-448,,0,13.716,13.716,,0.165,0.31,Steel
bm-449,,0,13.716,13.716,,0.165,0.31,Steel
bm-450,,0,13.716,13.716,,0.165,0.31,Steel
bm-451,,0,13.716,13.716,,0.165,0.31,Steel
bm-452,,0,13.716,13.716,,0.165,0.31,Steel
bm-453,,0,5.588,5.588,,,0.406,Steel
bm-454,,0,5.588,5.588,,,0.406,Steel
bm-455,,0,5.588,5.588,,,0.406,Steel
bm-456,,0,5.588,5.588,,,0.406,Steel
bm-457,,0,5.588,5.588,,,0.406,Steel
bm-458,,0,5.588,5.588,,,0.406,Steel
bm-459,,0,5.588,5.588,,,0.406,Steel
bm-460,,0,5.588,5.588,,,0.406,Steel
bm-461,,0,5.588,5.588,,,0.406,Steel
bm-462,,0,5.588,5.588,,,0.406,Steel
bm-463,,0,5.588,5.588,,,0.406,Steel
bm-464,,0,5.588,5.588,,,0.406,Steel
bm-465,,0,5.588,5.588,,,0.406,Steel
bm-466,,0,5.588,5.588,,,0.406,Steel
bm-467,,0,5.588,5.588,,,0.406,Steel
bm-468,,0,5.588,5.588,,,0.406,Steel
bm-469,,0,5.588,5.588,,,0.406,Steel
bm-470,,0,5.588,5.588,,,0.406,Steel
bm-471,,0,5.588,5.588,,,0.406,Steel
bm-472,,0,5.588,5.588,,,0.406,Steel
bm-473,,0,5.588,5.588,,,0.406,Steel
bm-474,,0,17.78,17.78,,0.165,0.31,Steel
bm-475,,0,17.78,17.78,,,0.508,Steel
bm-476,,0,17.78,17.78,,,0.508,Steel
bm-477,,0,17.78,17.78,,,0.508,Steel
bm-478,,0,17.78,17.78,,,0.508,Steel
bm-479,,0,17.78,17.78,,,0.508,Steel
bm-480,,0,17.78,17.78,,,0.508,Steel
bm-481,,0,17.78,17.78,,,0.508,Steel
bm-482,,0,17.78,17.78,,,0.508,Steel
bm-483,,0,17.78,17.78,,,0.508,Steel
