id,uuid,directory
sp-27,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4b3,global
sp-28,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4b4,global
sp-29,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4b5,global
sp-30,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4b6,global
sp-31,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b4b7,global
sp-32,a79add17-780f-499e-a863-104a9aa9c91e-000347ae,global
sp-33,a79add17-780f-499e-a863-104a9aa9c91e-000347b6,global
sp-34,a79add17-780f-499e-a863-104a9aa9c91e-000347b8,global
sp-35,a79add17-780f-499e-a863-104a9aa9c91e-000347ba,global
sp-36,a79add17-780f-499e-a863-104a9aa9c91e-000347c1,global
sp-37,a79add17-780f-499e-a863-104a9aa9c91e-000347cb,global
sp-38,a79add17-780f-499e-a863-104a9aa9c91e-000347cd,global
sp-39,a79add17-780f-499e-a863-104a9aa9c91e-00034839,global
sp-40,a79add17-780f-499e-a863-104a9aa9c91e-0003483b,global
sp-41,a79add17-780f-499e-a863-104a9aa9c91e-0003483d,global
sp-42,a79add17-780f-499e-a863-104a9aa9c91e-0003483f,global
sp-43,a79add17-780f-499e-a863-104a9aa9c91e-00034841,global
sp-44,a79add17-780f-499e-a863-104a9aa9c91e-0003484e,global
sp-45,a79add17-780f-499e-a863-104a9aa9c91e-00034850,global
sp-46,a79add17-780f-499e-a863-104a9aa9c91e-00034852,global
sp-47,a79add17-780f-499e-a863-104a9aa9c91e-00034854,global
sp-48,a79add17-780f-499e-a863-104a9aa9c91e-00034862,global
sp-49,a79add17-780f-499e-a863-104a9aa9c91e-00034864,global
sp-50,a79add17-780f-499e-a863-104a9aa9c91e-0003487f,global
sp-51,a79add17-780f-499e-a863-104a9aa9c91e-00034881,global
sp-52,a79add17-780f-499e-a863-104a9aa9c91e-00034883,global
sp-53,a79add17-780f-499e-a863-104a9aa9c91e-00034885,global
sp-54,a79add17-780f-499e-a863-104a9aa9c91e-00034887,global
sp-55,a79add17-780f-499e-a863-104a9aa9c91e-00034889,global
sp-56,a79add17-780f-499e-a863-104a9aa9c91e-0003488b,global
sp-57,a79add17-780f-499e-a863-104a9aa9c91e-00034898,global
