id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,shape,size_x,size_y,material
bm-393,16K6,,,,,0,0.006862724863,-7.3136125,-3.8735,1.905,-7.2405875,0.762,2.3114,-7.2771,0.762,-7.2771,-3.8735,4.6355,2.3114,2.3114,,,,Steel
bm-394,16K6,,,,,0,0.006862724863,-8.4185125,-3.8735,1.905,-8.3454875,0.762,2.3114,-8.382,0.762,-8.382,-3.8735,4.6355,2.3114,2.3114,,,,Steel
bm-395,16K6,,,,,0,0.006862724863,-9.5234125,-3.8735,1.905,-9.4503875,0.762,2.3114,-9.4869,0.762,-9.4869,-3.8735,4.6355,2.3114,2.3114,,,,Steel
bm-396,16K6,,,,,0,0.006862724863,-10.6283125,-3.8735,1.905,-10.5552875,0.762,2.3114,-10.5918,0.762,-10.5918,-3.8735,4.6355,2.3114,2.3114,,,,Steel
bm-397,16K6,,,,,0,0.006862724863,-11.7332125,-3.8735,1.905,-11.6601875,0.762,2.3114,-11.6967,0.762,-11.6967,-3.8735,4.6355,2.3114,2.3114,,,,Steel
bm-398,16K6,,,,,0,0.006862724863,-12.8381125,-3.8735,1.905,-12.7650875,0.762,2.3114,-12.8016,0.762,-12.8016,-3.8735,4.6355,2.3114,2.3114,,,,Steel
bm-399,16K6,,,,,0,0.006862724863,-13.9430125,-3.8735,1.905,-13.8699875,0.762,2.3114,-13.9065,0.762,-13.9065,-3.8735,4.6355,2.3114,2.3114,,,,Steel
bm-400,16K6,,,,,0,0.006687300314,-7.3136125,-8.3947,1.905,-7.2405875,-3.8735,2.3114,-7.2771,-3.8735,-7.2771,-8.3947,4.5212,2.3114,2.3114,,,,Steel
bm-401,16K6,,,,,0,0.006687300314,-8.4185125,-8.3947,1.905,-8.3454875,-3.8735,2.3114,-8.382,-3.8735,-8.382,-8.3947,4.5212,2.3114,2.3114,,,,Steel
bm-402,16K6,,,,,0,0.006687300314,-9.5234125,-8.3947,1.905,-9.4503875,-3.8735,2.3114,-9.4869,-3.8735,-9.4869,-8.3947,4.5212,2.3114,2.3114,,,,Steel
bm-403,16K6,,,,,0,0.006687300314,-10.6283125,-8.3947,1.905,-10.5552875,-3.8735,2.3114,-10.5918,-3.8735,-10.5918,-8.3947,4.5212,2.3114,2.3114,,,,Steel
bm-404,16K6,,,,,0,0.006687300314,-11.7332125,-8.3947,1.905,-11.6601875,-3.8735,2.3114,-11.6967,-3.8735,-11.6967,-8.3947,4.5212,2.3114,2.3114,,,,Steel
bm-405,16K6,,,,,0,0.006687300314,-12.8381125,-8.3947,1.905,-12.7650875,-3.8735,2.3114,-12.8016,-3.8735,-12.8016,-8.3947,4.5212,2.3114,2.3114,,,,Steel
bm-406,16K6,,,,,0,0.006687300314,-13.9430125,-8.3947,1.905,-13.8699875,-3.8735,2.3114,-13.9065,-3.8735,-13.9065,-8.3947,4.5212,2.3114,2.3114,,,,Steel
bm-407,W18x86,,,,,0,0.07089743917,-15.15237,-3.8735,1.84404,-14.87043,0.762,2.3114,-15.0114,0.762,-15.0114,-3.8735,4.6355,2.3114,2.3114,,0,0,Steel
bm-408,W18x55,,,,,0,0.04639709847,-6.267831,-3.8735,1.85166,-6.076569,0.762,2.3114,-6.1722,0.762,-6.1722,-3.8735,4.6355,2.3114,2.3114,,0,0,Steel
bm-409,W18x55,,,,,0,0.04394236826,-15.107031,-8.5344,1.85166,-14.915769,-3.8735,2.3114,-15.0114,-3.8735,-15.0114,-8.5344,4.6609,2.3114,2.3114,,0,0,Steel
bm-410,W18x55,,,,,0,0.04460325717,-6.267831,-8.5344,1.85166,-6.076569,-3.8735,2.3114,-6.1722,-3.8735,-6.1722,-8.5344,4.6609,2.3114,2.3114,,0,0,Steel
bm-411,W8x10,,,,,0,0.003738292811,13.49239533,0.7239,2.110994,13.59247133,2.71145,2.3114,13.54243333,2.71145,13.54243333,0.7239,1.98755,2.3114,2.3114,,0,0,Steel
bm-412,16K6,,,,,0,0.01061033263,-10.83613068,5.8547,1.905,-10.76310568,12.6365,2.3114,-10.79961818,5.8547,-10.79961818,12.6365,6.7818,2.3114,2.3114,,,,Steel
bm-413,16K6,,,,,0,0.01061033263,-9.646948864,5.8547,1.905,-9.573923864,12.6365,2.3114,-9.610436364,5.8547,-9.610436364,12.6365,6.7818,2.3114,2.3114,,,,Steel
bm-414,16K6,,,,,0,0.01061033263,-8.457767045,5.8547,1.905,-8.384742045,12.6365,2.3114,-8.421254545,5.8547,-8.421254545,12.6365,6.7818,2.3114,2.3114,,,,Steel
bm-415,16K6,,,,,0,0.01061033263,-7.268585227,5.8547,1.905,-7.195560227,12.6365,2.3114,-7.232072727,5.8547,-7.232072727,12.6365,6.7818,2.3114,2.3114,,,,Steel
bm-416,16K6,,,,,0,0.01061033263,-6.079403409,5.8547,1.905,-6.006378409,12.6365,2.3114,-6.042890909,5.8547,-6.042890909,12.6365,6.7818,2.3114,2.3114,,,,Steel
bm-417,16K6,,,,,0,0.01061033263,-4.890221591,5.8547,1.905,-4.817196591,12.6365,2.3114,-4.853709091,5.8547,-4.853709091,12.6365,6.7818,2.3114,2.3114,,,,Steel
bm-418,16K6,,,,,0,0.01061033263,-3.701039773,5.8547,1.905,-3.628014773,12.6365,2.3114,-3.664527273,5.8547,-3.664527273,12.6365,6.7818,2.3114,2.3114,,,,Steel
bm-419,16K6,,,,,0,0.01061033263,-2.511857955,5.8547,1.905,-2.438832955,12.6365,2.3114,-2.475345455,5.8547,-2.475345455,12.6365,6.7818,2.3114,2.3114,,,,Steel
bm-420,16K6,,,,,0,0.005895095502,-1.322676136,8.5725,1.905,-1.249651136,12.6365,2.3114,-1.286163636,8.5725,-1.286163636,12.6365,4.064,2.3114,2.3114,,,,Steel
bm-421,16K6,,,,,0,0.005895095502,-0.1334943182,8.5725,1.905,-0.06046931818,12.6365,2.3114,-0.09698181818,8.5725,-0.09698181818,12.6365,4.064,2.3114,2.3114,,,,Steel
bm-422,16K6,,,,,0,0.007343480292,-14.5907125,0.762,1.905,-14.5176875,5.6515,2.3114,-14.5542,0.762,-14.5542,5.6515,4.8895,2.3114,2.3114,,,,Steel
bm-423,16K6,,,,,0,0.007343480292,-13.3715125,0.762,1.905,-13.2984875,5.6515,2.3114,-13.335,0.762,-13.335,5.6515,4.8895,2.3114,2.3114,,,,Steel
bm-424,16K6,,,,,0,0.007343480292,-12.1523125,0.762,1.905,-12.0792875,5.6515,2.3114,-12.1158,0.762,-12.1158,5.6515,4.8895,2.3114,2.3114,,,,Steel
bm-425,16K6,,,,,0,0.007654806758,-10.9331125,0.762,1.905,-10.8600875,5.8547,2.3114,-10.8966,0.762,-10.8966,5.8547,5.0927,2.3114,2.3114,,,,Steel
bm-426,16K6,,,,,0,0.007654806758,-9.7139125,0.762,1.905,-9.6408875,5.8547,2.3114,-9.6774,0.762,-9.6774,5.8547,5.0927,2.3114,2.3114,,,,Steel
bm-427,16K6,,,,,0,0.007654806758,-8.4947125,0.762,1.905,-8.4216875,5.8547,2.3114,-8.4582,0.762,-8.4582,5.8547,5.0927,2.3114,2.3114,,,,Steel
bm-428,16K6,,,,,0,0.007654806758,-7.2755125,0.762,1.905,-7.2024875,5.8547,2.3114,-7.239,0.762,-7.239,5.8547,5.0927,2.3114,2.3114,,,,Steel
bm-429,16K6,,,,,0,0.007654806758,-6.0563125,0.762,1.905,-5.9832875,5.8547,2.3114,-6.0198,0.762,-6.0198,5.8547,5.0927,2.3114,2.3114,,,,Steel
bm-430,16K6,,,,,0,0.007654806758,-4.8371125,0.762,1.905,-4.7640875,5.8547,2.3114,-4.8006,0.762,-4.8006,5.8547,5.0927,2.3114,2.3114,,,,Steel
bm-431,16K6,,,,,0,0.007654806758,-3.6179125,0.762,1.905,-3.5448875,5.8547,2.3114,-3.5814,0.762,-3.5814,5.8547,5.0927,2.3114,2.3114,,,,Steel
bm-432,16K6,,,,,0,0.007654806758,-2.3987125,0.762,1.905,-2.3256875,5.8547,2.3114,-2.3622,0.762,-2.3622,5.8547,5.0927,2.3114,2.3114,,,,Steel
bm-433,16K6,,,,,0,0.007460138252,-1.1795125,0.762,1.905,-1.1064875,5.7277,2.3114,-1.143,0.762,-1.143,5.7277,4.9657,2.3114,2.3114,,,,Steel
